DOI,Link
10.1111/bph.13207,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937514953&partnerID=40&md5=8f69460902732d5ef439f6ddfd6bc5de"
10.1016/j.rser.2015.04.028,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928723540&partnerID=40&md5=c3674f1d01f44070ffe85adf96b709bc"
10.1016/j.molcata.2015.04.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929454437&partnerID=40&md5=f2f19673e4b210f3e8489288a3765216"
10.1016/j.cej.2015.03.108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926472634&partnerID=40&md5=7f336594dd89bbe44537ecd539fa2a7f"
10.1039/c5nj00803d,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938634736&partnerID=40&md5=dd66136911cae79f8211f88878e49bee"
10.1016/j.reprotox.2014.10.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937943256&partnerID=40&md5=84930f97ea0a1ab86109240fa18c7864"
10.1016/j.aquatox.2015.06.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933518751&partnerID=40&md5=a855d866a1ad6a02cd237b0619b43e98"
10.1016/j.yrtph.2015.05.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931291670&partnerID=40&md5=a9fc51fad4e037b1074253c2f9629eb4"
10.1016/j.enconman.2015.04.072,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929177300&partnerID=40&md5=8213d7cfa1c012383f12d4bce008d004"
10.1021/acsnano.5b02067,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938125654&partnerID=40&md5=a78678e7d3d46bab5bf80488e397a4ed"
10.1021/acsnano.5b03569,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938150013&partnerID=40&md5=114e7ab3d66c098588d25e7bf4f250a1"
10.1039/c5ob01030f,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936888717&partnerID=40&md5=0134516fbfb9a9e0fa8fea717fea1427"
10.1021/acs.jcim.5b00139,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938151769&partnerID=40&md5=6eb88337971d91e5302f1b1fecb533a8"
10.1039/c5ra10709a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938918428&partnerID=40&md5=f61867cf4b38886b8430391206875daa"
10.1016/j.fuel.2015.07.038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937916548&partnerID=40&md5=dce7c375caa55affb06b469224542bcd"
10.1007/s12272-015-0640-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941997753&partnerID=40&md5=1bfbc9b8084d4a729e96d53e5b2ffe7f"
10.1007/s12274-015-0743-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937974090&partnerID=40&md5=cbe6f8639789b0f8e34dfddc29082a62"
10.1021/acs.est.5b01742,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939646280&partnerID=40&md5=b788feb63b42a883bb701701b480bb31"
10.1021/acs.est.5b02262,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939625450&partnerID=40&md5=acea63397a4d4d589f62b27e2facc824"
10.1016/j.ejmech.2015.06.029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937707132&partnerID=40&md5=1faded2eab853884cd4918f5157504e1"
10.1021/acs.est.5b01005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939555964&partnerID=40&md5=77e654cee960a2e28a6b2b0438a84ec6"
10.1021/acs.est.5b01870,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937510424&partnerID=40&md5=0c9c5f4729a2d75bc692e6ee7f46cc34"
10.1021/acs.jpcc.5b05556,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939141055&partnerID=40&md5=21dba71007c2da339ff8ff151154e1e0"
10.1021/acs.chemrestox.5b00208,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937688579&partnerID=40&md5=6301f205f19902bf01177130dc9cf39f"
10.1016/j.carbpol.2015.06.051,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937239499&partnerID=40&md5=512c786468dfe74c138f058d5fc56cf2"
10.3389/fncel.2015.00272,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937423497&partnerID=40&md5=60ec6b2d4fb8b7268bf00005d5d77e70"
10.1016/j.tetlet.2015.03.135,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930928201&partnerID=40&md5=832f62870b3f4a4cbf40424a1aa8dd7b"
10.1021/acs.est.5b02220,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939618804&partnerID=40&md5=fe6436d758cd64b1cb5ad55c66a57fd7"
10.1039/c5sm00566c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935002369&partnerID=40&md5=631b8c2b36f0d87e26886cf41e70d6fb"
10.1039/c5cc03032c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934895478&partnerID=40&md5=a96a80e0a93a0e23859b0e65ad665b10"
10.1016/j.jconhyd.2015.06.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936758203&partnerID=40&md5=369d18e723ed76393a3cba78b7718b2e"
10.1007/s10646-015-1443-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930574142&partnerID=40&md5=17ed4a6b016b0846561d31c47b169413"
